step 0: train loss 4.2966, val loss 4.2990
iter 184: loss 3.0567, time 18550.47ms, mfu 0.04%
iter 185: loss 3.0452, time 18468.58ms, mfu 0.04%
iter 186: loss 3.0362, time 18902.46ms, mfu 0.04%
iter 187: loss 3.0291, time 19326.77ms, mfu 0.04%
iter 188: loss 3.0244, time 18784.85ms, mfu 0.04%
iter 189: loss 3.0288, time 18761.55ms, mfu 0.04%
iter 190: loss 3.0274, time 19309.53ms, mfu 0.04%
iter 191: loss 3.0147, time 18918.08ms, mfu 0.04%
iter 192: loss 3.0130, time 18689.26ms, mfu 0.04%
iter 193: loss 3.0104, time 18525.14ms, mfu 0.04%
iter 194: loss 3.0137, time 18794.91ms, mfu 0.04%
iter 195: loss 2.9995, time 18477.25ms, mfu 0.04%
iter 196: loss 3.0071, time 19490.43ms, mfu 0.04%
iter 197: loss 3.0255, time 18783.28ms, mfu 0.04%
iter 198: loss 3.0283, time 18626.76ms, mfu 0.04%
iter 199: loss 2.9913, time 18678.76ms, mfu 0.04%
iter 200: loss 2.9809, time 18490.34ms, mfu 0.04%
iter 201: loss 2.9560, time 18927.47ms, mfu 0.04%
iter 202: loss 2.9670, time 18883.87ms, mfu 0.04%
iter 203: loss 3.0079, time 19145.77ms, mfu 0.04%
iter 204: loss 2.9779, time 18610.71ms, mfu 0.04%
iter 205: loss 2.9651, time 19433.73ms, mfu 0.04%
iter 206: loss 2.9610, time 18954.82ms, mfu 0.04%
iter 207: loss 2.9530, time 19511.22ms, mfu 0.04%
iter 208: loss 2.9514, time 19677.22ms, mfu 0.04%
iter 209: loss 2.9324, time 18854.03ms, mfu 0.04%
iter 210: loss 2.9614, time 19022.85ms, mfu 0.04%
iter 211: loss 2.9130, time 18596.68ms, mfu 0.04%
iter 212: loss 2.9566, time 18645.52ms, mfu 0.04%
iter 213: loss 2.9300, time 18643.76ms, mfu 0.04%
iter 214: loss 2.9167, time 18907.98ms, mfu 0.04%
iter 215: loss 2.9082, time 18683.35ms, mfu 0.04%
iter 216: loss 2.9066, time 18870.36ms, mfu 0.04%
iter 217: loss 2.9166, time 18591.18ms, mfu 0.04%
iter 218: loss 2.8869, time 18628.69ms, mfu 0.04%
iter 219: loss 2.8805, time 18504.20ms, mfu 0.04%
iter 220: loss 2.8914, time 18574.00ms, mfu 0.04%
iter 221: loss 2.8854, time 18755.69ms, mfu 0.04%
iter 222: loss 2.8695, time 18686.45ms, mfu 0.04%
iter 223: loss 2.8859, time 18536.03ms, mfu 0.04%
iter 224: loss 2.8924, time 18670.74ms, mfu 0.04%
iter 225: loss 2.8851, time 18722.60ms, mfu 0.04%
iter 226: loss 2.8597, time 18846.39ms, mfu 0.04%
iter 227: loss 2.8672, time 18563.63ms, mfu 0.04%
iter 228: loss 2.8715, time 19046.66ms, mfu 0.04%
iter 229: loss 2.8955, time 18889.62ms, mfu 0.04%
iter 230: loss 2.8630, time 19420.13ms, mfu 0.04%
iter 231: loss 2.8594, time 18794.67ms, mfu 0.04%
iter 232: loss 2.8344, time 18647.36ms, mfu 0.04%
iter 233: loss 2.8480, time 18436.25ms, mfu 0.04%
iter 234: loss 2.8350, time 18792.97ms, mfu 0.04%
iter 235: loss 2.8304, time 18550.66ms, mfu 0.04%
iter 236: loss 2.8349, time 18431.88ms, mfu 0.04%
iter 237: loss 2.8458, time 19054.90ms, mfu 0.04%
iter 238: loss 2.8391, time 18423.45ms, mfu 0.04%
iter 239: loss 2.8356, time 18657.07ms, mfu 0.04%
iter 240: loss 2.8088, time 18568.51ms, mfu 0.04%
iter 241: loss 2.8370, time 18357.52ms, mfu 0.04%
iter 242: loss 2.7949, time 18758.32ms, mfu 0.04%
iter 243: loss 2.8052, time 18675.29ms, mfu 0.04%
iter 244: loss 2.8164, time 18652.24ms, mfu 0.04%
iter 245: loss 2.7998, time 18930.25ms, mfu 0.04%
iter 246: loss 2.7810, time 18802.83ms, mfu 0.04%
iter 247: loss 2.7833, time 18585.26ms, mfu 0.04%
iter 248: loss 2.7751, time 18469.28ms, mfu 0.04%
iter 249: loss 2.7799, time 18547.89ms, mfu 0.04%
iter 250: loss 2.7693, time 18744.02ms, mfu 0.04%
iter 251: loss 2.7616, time 18982.60ms, mfu 0.04%
iter 252: loss 2.7908, time 19172.93ms, mfu 0.04%
iter 253: loss 2.7758, time 18633.17ms, mfu 0.04%
